ATSDR_Route,ATSDR_Duration,ATSDR_MRL,ATSDR_Factors,ATSDR_Endpoint,ATSDR_State,ATSDR_Cover_Date,ATSDR_CASRN,ATSDR_NAME
Inh.,Acute,2 ppm,100,Neurol.,Final,Jul-06,71-55-6,"1,1,1-TRICHLOROETHANE"
Inh.,Int.,0.7 ppm,100,Neurol.,Final,Jul-06,71-55-6,"1,1,1-TRICHLOROETHANE"
Oral,Int.,20 mg/kg/day,100,Body Wt.,Final,Jul-06,71-55-6,"1,1,1-TRICHLOROETHANE"
Oral,Int.,0.5 mg/kg/day,100,Hepatic,Final,Sep-08,79-34-5,"1,1,2,2-TETRACHLOROETHANE"
Inh.,Acute,0.03 ppm,270,Resp.,Final,Mar-21,79-00-5,"1,1,2-TRICHLOROETHANE"
Inh.,Int.,2 ppb,30,Resp.,Final,Mar-21,79-00-5,"1,1,2-TRICHLOROETHANE"
Oral,Acute,0.5 mg/kg/day,100,Hepatic,Final,Mar-21,79-00-5,"1,1,2-TRICHLOROETHANE"
Oral,Int.,0.04 mg/kg/day,100,Immuno.,Final,Mar-21,79-00-5,"1,1,2-TRICHLOROETHANE"
Inh.,Chr.,0.6 ppb,30,Resp.,Draft,Dec-19,75-35-4,"1,1-DICHLOROETHENE"
Inh.,Int.,1 ppb,30,Resp.,Draft,Dec-19,75-35-4,"1,1-DICHLOROETHENE"
Oral,Chr.,0.05 mg/kg/day,100,Hepatic,Draft,Dec-19,75-35-4,"1,1-DICHLOROETHENE"
Inh.,Int.,0.0002 ppm,300,Hepatic,Final,Sep-97,57-14-7,"1,1-DIMETHYLHYDRAZINE"
Inh.,Acute,1 ppb,30,Resp.,Draft,May-19,96-18-4,"1,2,3-TRICHLOROPROPANE"
Oral,Chr.,5 ug/kg/day,100,Hepatic,Draft,May-19,96-18-4,"1,2,3-TRICHLOROPROPANE"
Oral,Int.,0.06 mg/kg/day,100,"Hepatic,Hemato.",Draft,May-19,96-18-4,"1,2,3-TRICHLOROPROPANE"
Oral,Chr.,0.1 mg/kg/day,100,Hepatic,Final,Oct-14,120-82-1,"1,2,4 - TRICHLOROBENZENE"
Oral,Int.,0.1 mg/kg/day,100,Hepatic,Final,Oct-14,120-82-1,"1,2,4 - TRICHLOROBENZENE"
Inh.,Int.,0.0002 ppm,100,Repro.,Final,Apr-18,96-12-8,"1,2-DIBROMO-3-CHLOROPROPANE"
Oral,Int.,0.002 mg/kg/day,1000,Repro.,Final,Apr-18,96-12-8,"1,2-DIBROMO-3-CHLOROPROPANE"
Oral,Acute,0.7 mg/kg/day,100,Hepatic,Final,Aug-06,95-50-1,"1,2-DICHLOROBENZENE"
Oral,Chr.,0.3 mg/kg/day,100,Renal,Final,Aug-06,95-50-1,"1,2-DICHLOROBENZENE"
Oral,Int.,0.6 mg/kg/day,100,Hepatic,Final,Aug-06,95-50-1,"1,2-DICHLOROBENZENE"
Inh.,Chr.,0.6 ppm,90,Hepatic,Final,Sep-01,107-06-2,"1,2-DICHLOROETHANE"
Oral,Int.,0.2 mg/kg/day,300,Renal,Final,Sep-01,107-06-2,"1,2-DICHLOROETHANE"
Oral,Acute,1 mg/kg/day,100,Hemato.,Final,Aug-96,156-59-2,"1,2-DICHLOROETHENE, CIS-"
Oral,Int.,0.3 mg/kg/day,100,Hemato.,Final,Aug-96,156-59-2,"1,2-DICHLOROETHENE, CIS-"
Inh.,Acute,0.2 ppm,1000,Hepatic,Final,Aug-96,156-60-5,"1,2-DICHLOROETHENE, TRANS-"
Inh.,Int.,0.2 ppm,1000,Hepatic,Final,Aug-96,156-60-5,"1,2-DICHLOROETHENE, TRANS-"
Oral,Int.,0.2 mg/kg/day,100,Hepatic,Final,Aug-96,156-60-5,"1,2-DICHLOROETHENE, TRANS-"
Inh.,Acute,0.02 ppm,90,Resp.,Draft,Dec-19,78-87-5,"1,2-DICHLOROPROPANE"
Inh.,Int.,2 ppb,30,Resp.,Draft,Dec-19,78-87-5,"1,2-DICHLOROPROPANE"
Oral,Acute,0.3 mg/kg/day,100,Hemato.,Draft,Dec-19,78-87-5,"1,2-DICHLOROPROPANE"
Oral,Int.,0.07 mg/kg/day,1000,Hemato.,Draft,Dec-19,78-87-5,"1,2-DICHLOROPROPANE"
Oral,Int.,0.0008 mg/kg/day,1000,Hepatic,Final,Sep-97,540-73-8,"1,2-DIMETHYLHYDRAZINE"
Oral,Int.,0.05 mg/kg/day,100,Hepatic,Draft,May-19,122-66-7,"1,2-DIPHENYLHYDRAZINE"
Oral,Acute,0.4 mg/kg/day,100,Hepatic,Final,Aug-06,541-73-1,"1,3-DICHLOROBENZENE"
Oral,Int.,0.02 mg/kg/day,100,Endocr.,Final,Aug-06,541-73-1,"1,3-DICHLOROBENZENE"
Inh.,Chr.,0.007 ppm,30,Resp.,Final,Sep-08,542-75-6,"1,3-DICHLOROPROPENE"
Inh.,Int.,0.008 ppm,30,Resp.,Final,Sep-08,542-75-6,"1,3-DICHLOROPROPENE"
Oral,Chr.,0.03 mg/kg/day,100,Gastro.,Final,Sep-08,542-75-6,"1,3-DICHLOROPROPENE"
Oral,Int.,0.04 mg/kg/day,100,Gastro.,Final,Sep-08,542-75-6,"1,3-DICHLOROPROPENE"
Oral,Acute,0.08 mg/kg/day,100,Repro.,Final,Jun-95,99-65-0,"1,3-DINITROBENZENE"
Oral,Int.,0.0005 mg/kg/day,1000,Hemato.,Final,Jun-95,99-65-0,"1,3-DINITROBENZENE"
Inh.,Acute,2 ppm,10,Resp.,Final,Aug-06,106-46-7,"1,4-DICHLOROBENZENE"
Inh.,Chr.,0.01 ppm,30,Resp.,Final,Aug-06,106-46-7,"1,4-DICHLOROBENZENE"
Inh.,Int.,0.2 ppm,100,Hepatic,Final,Aug-06,106-46-7,"1,4-DICHLOROBENZENE"
Oral,Chr.,0.07 mg/kg/day,100,Hepatic,Final,Aug-06,106-46-7,"1,4-DICHLOROBENZENE"
Oral,Int.,0.07 mg/kg/day,100,Hepatic,Final,Aug-06,106-46-7,"1,4-DICHLOROBENZENE"
Inh.,Acute,2 ppm,10,Ocular,Final,Apr-12,123-91-1,"1,4-DIOXANE"
Inh.,Chr.,0.03 ppm,300,Resp.,Final,Apr-12,123-91-1,"1,4-DIOXANE"
Inh.,Int.,0.2 ppm,30,Resp.,Final,Apr-12,123-91-1,"1,4-DIOXANE"
Oral,Acute,5 mg/kg/day,100,Develop.,Final,Apr-12,123-91-1,"1,4-DIOXANE"
Oral,Chr.,0.1 mg/kg/day,100,Hepatic,Final,Apr-12,123-91-1,"1,4-DIOXANE"
Oral,Int.,0.5 mg/kg/day,100,Hepatic,Final,Apr-12,123-91-1,"1,4-DIOXANE"
Inh.,Acute,1 ppm,30,Neurol.,Final,Aug-17,106-94-5,1-BROMOPROPANE
Inh.,Chr.,0.02 ppm,30,Neurol.,Final,Aug-17,106-94-5,1-BROMOPROPANE
Inh.,Int.,0.1 ppm,30,Neurol.,Final,Aug-17,106-94-5,1-BROMOPROPANE
Oral,Acute,0.2 mg/kg/day,100,Neurol.,Final,Aug-17,106-94-5,1-BROMOPROPANE
Oral,Chr.,0.07 mg/kg/day,1000,Resp.,Final,Aug-05,90-12-0,1-METHYLNAPHTHALENE
Oral,Acute,0.001 ug/kg/day,3000,Immuno.,Final,May-94,57117-31-4,"2,3,4,7,8-PENTACHLORO­DIBENZOFURAN"
Oral,Int.,0.00003 ug/kg/day,3000,Hepatic,Final,May-94,57117-31-4,"2,3,4,7,8-PENTACHLORO­DIBENZOFURAN"
Oral,Acute,0.0002 ug/kg/day,21,Immuno.,Final,Dec-98,1746-01-6,"2,3,7,8-TETRACHLORODIBENZO-P-DIOXIN"
Oral,Chr.,0.000001 ug/kg/day,90,Develop.,Final,Dec-98,1746-01-6,"2,3,7,8-TETRACHLORODIBENZO-P-DIOXIN"
Oral,Int.,0.00002 ug/kg/day,30,Lymphor.,Final,Dec-98,1746-01-6,"2,3,7,8-TETRACHLORODIBENZO-P-DIOXIN"
Inh.,Acute,0.002 ppm,90,Resp.,Final,Sep-08,78-88-6,"2,3-DICHLOROPROPENE"
Oral,Acute,0.09 mg/kg/day,3000,Renal,Final,Feb-16,602-01-7,"2,3-DINITROTOLUENE"
Oral,Int.,0.0005 mg/kg/day,1000,Hepatic,Final,Jun-95,118-96-7,"2,4,6-TRINITROTOLUENE"
Oral,Int.,0.003 mg/kg/day,100,Immuno.,Final,Jul-99,120-83-2,"2,4-DICHLOROPHENOL"
Oral,Chronic,0.2 mg/kg/day,100,Renal,Final,Jul-20,94-75-7,"2,4-DICHLOROPHENOXYACETIC ACID (2,4-D)"
Oral,Int.,0.2 mg/kg/day,100,Renal,Final,Jul-20,94-75-7,"2,4-DICHLOROPHENOXYACETIC ACID (2,4-D)"
Oral,Int.,0.07 ug/kg/day,1000,Body Wt.,Draft,May-19,51-28-5,"2,4-DINITROPHENOL"
Oral,Acute,0.05 mg/kg/day,100,Neurol.,Final,Feb-16,121-14-2,"2,4-DINITROTOLUENE"
Oral,Chr.,0.001 mg/kg/day,100,Hemato.,Final,Feb-16,121-14-2,"2,4-DINITROTOLUENE"
Oral,Int.,0.007 mg/kg/day,100,Hemato.,Final,Feb-16,121-14-2,"2,4-DINITROTOLUENE"
Oral,Acute,0.007 mg/kg/day,300,Hemato.,Final,Feb-16,619-15-8,"2,5-DINITROTOLUENE"
Oral,Acute,0.09 mg/kg/day,100,Hemato.,Final,Feb-16,606-20-2,"2,6-DINITROTOLUENE"
Oral,Int.,0.004 mg/kg/day,1000,Hemato.,Final,Feb-16,606-20-2,"2,6-DINITROTOLUENE"
Inh.,Acute,1 ppm,100,Neurol.,Draft,May-19,78-93-3,2-BUTANONE
Inh.,Acute,6 ppm,9,Hemato.,Final,Aug-98,111-76-2,2-BUTOXYETHANOL
Inh.,Chr.,0.2 ppm,3,Hemato.,Final,Aug-98,111-76-2,2-BUTOXYETHANOL
Inh.,Int.,3 ppm,9,Hemato.,Final,Aug-98,111-76-2,2-BUTOXYETHANOL
Oral,Acute,0.4 mg/kg/day,90,Hemato.,Final,Aug-98,111-76-2,2-BUTOXYETHANOL
Oral,Int.,0.07 mg/kg/day,1000,Hepatic,Final,Aug-98,111-76-2,2-BUTOXYETHANOL
Oral,Chr.,0.05 mg/kg/day,3000,Neurol.,Final,Feb-20,591-78-6,2-HEXANONE
Oral,Chr.,0.04 mg/kg/day,100,Resp.,Final,Aug-05,91-57-6,2-METHYLNAPHTHALENE
Oral,Acute,0.03 mg/kg/day,300,Hemato.,Final,Feb-16,610-39-9,"3,4-DINITROTOLUENE"
Oral,Acute,0.03 mg/kg/day,300,Repro.,Final,Feb-16,618-85-9,"3,5-DINITROTOLUENE"
Oral,Chr.,0.003 mg/kg/day,3000,Hepatic,Final,Oct-17,101-14-4,"4,4'-METHYLENEBIS(2-CHLOROANILINE) (MBOCA)"
Oral,Acute,0.2 mg/kg/day,150,Hepatic,Final,Aug-98,101-77-9,"4,4'-METHYLENEDIANILINE"
Oral,Int.,0.08 mg/kg/day,100,Hepatic,Final,Aug-98,101-77-9,"4,4'-METHYLENEDIANILINE"
Oral,Acute,0.004 mg/kg/day,100,Neurol.,Final,Jan-18,534-52-1,"4,6-DINITRO-O-CRESOL"
Oral,Int.,0.004 mg/kg/day,100,Neurol.,Final,Jan-18,534-52-1,"4,6-DINITRO-O-CRESOL"
Oral,Acute,0.01 mg/kg/day,100,Hepatic,Final,Jul-99,106-48-9,4-CHLOROPHENOL
Oral,Int.,0.6 mg/kg/day,300,Hepatic,Final,Aug-95,83-32-9,ACENAPHTHENE
Inh.,Acute,26 ppm,9,Neurol.,Final,May-94,67-64-1,ACETONE
Inh.,Chr.,13 ppm,100,Neurol.,Final,May-94,67-64-1,ACETONE
Inh.,Int.,13 ppm,100,Neurol.,Final,May-94,67-64-1,ACETONE
Oral,Int.,2 mg/kg/day,100,Hemato.,Final,May-94,67-64-1,ACETONE
Inh.,Acute,0.003 ppm,100,Resp.,Final,Aug-07,107-02-8,ACROLEIN
Inh.,Int.,0.00004 ppm,300,Resp.,Final,Aug-07,107-02-8,ACROLEIN
Oral,Int.,0.004 mg/kg/day,100,Gastro.,Final,Aug-07,107-02-8,ACROLEIN
Oral,Acute,0.01 mg/kg/day,30,Repro.,Final,Dec-12,79-06-1,ACRYLAMIDE
Oral,Chr.,0.001 mg/kg/day,30,Neurol.,Final,Dec-12,79-06-1,ACRYLAMIDE
Oral,Int.,0.001 mg/kg/day,30,Neurol.,Final,Dec-12,79-06-1,ACRYLAMIDE
Inh.,Acute,0.1 ppm,10,Neurol.,Final,Dec-90,107-13-1,ACRYLONITRILE
Oral,Acute,0.1 mg/kg/day,100,Develop.,Final,Dec-90,107-13-1,ACRYLONITRILE
Oral,Chr.,0.04 mg/kg/day,100,Hemato.,Final,Dec-90,107-13-1,ACRYLONITRILE
Oral,Int.,0.01 mg/kg/day,1000,Repro.,Final,Dec-90,107-13-1,ACRYLONITRILE
Oral,Acute,0.002 mg/kg/day,1000,Develop.,Final,Sep-02,309-00-2,ALDRIN
Oral,Chr.,0.00003 mg/kg/day,1000,Hepatic,Final,Sep-02,309-00-2,ALDRIN
Oral,Chr.,1 mg/kg/day,90,Neurol.,Final,Sep-08,7429-90-5,ALUMINUM
Oral,Int.,1 mg/kg/day,30,Neurol.,Final,Sep-08,7429-90-5,ALUMINUM
Rad.,Acute,4 mSv,3,Develop.,Final,Apr-04,7440-35-9,AMERICIUM
Rad.,Chr.,1 mSv/yr,3,Other,Final,Apr-04,7440-35-9,AMERICIUM
Inh.,Acute,1.7 ppm,30,Resp.,Final,Sep-04,7664-41-7,AMMONIA
Inh.,Chr.,0.1 ppm,30,Resp.,Final,Sep-04,7664-41-7,AMMONIA
Oral,Int.,10 mg/kg/day,100,Hepatic,Final,Aug-95,120-12-7,ANTHRACENE
Inh,Acute,0.001 mg/m3,30,Resp.,Final,Oct-19,7440-36-0,ANTIMONY
Inh.,Chr.,0.0003 mg/m3,30,Resp.,Final,Oct-19,7440-36-0,ANTIMONY
Inh.,Int.,0.001 mg/m3,30,Resp.,Final,Oct-19,7440-36-0,ANTIMONY
Oral,Acute,1 mg/kg/day,100,Hepatic,Final,Oct-19,7440-36-0,ANTIMONY
Oral,Int.,0.0006 mg/kg/day,100,Metab.,Final,Oct-19,7440-36-0,ANTIMONY
Oral,Acute,0.005 mg/kg/day,10,Gastro.,Final,Aug-07,7440-38-2,ARSENIC
Oral,Chr.,0.0003 mg/kg/day,3,Dermal,Final,Aug-07,7440-38-2,ARSENIC
Oral,Acute,0.01 mg/kg/day,100,Body Wt.,Final,Sep-03,1912-24-9,ATRAZINE
Oral,Int.,0.003 mg/kg/day,300,Repro.,Final,Sep-03,1912-24-9,ATRAZINE
Oral,Chr.,0.2 mg/kg/day,300,Renal,Final,Aug-07,7440-39-3,"BARIUM, SOLUBLE SALTS"
Oral,Int.,0.2 mg/kg/day,300,Renal,Final,Aug-07,7440-39-3,"BARIUM, SOLUBLE SALTS"
Inh.,Acute,0.009 ppm,300,Immuno.,Final,Aug-07,71-43-2,BENZENE
Inh.,Chr.,0.003 ppm,10,Immuno.,Final,Aug-07,71-43-2,BENZENE
Inh.,Int.,0.006 ppm,300,Immuno.,Final,Aug-07,71-43-2,BENZENE
Oral,Chr.,0.0005 mg/kg/day,30,Immuno.,Final,Aug-07,71-43-2,BENZENE
Oral,Chr.,0.002 mg/kg/day,300,Gastro.,Final,Sep-02,7440-41-7,BERYLLIUM
Inh.,Int.,0.02 ppm,1000,Body Wt.,Final,Oct-17,111-44-4,BIS(2 CHLOROETHYL)ETHER (BCEE)
Inh.,Int.,0.0003 ppm,100,Resp.,Final,Nov-17,542-88-1,BIS(CHLOROMETHYL)ETHER (BCME)
Inh.,Acute,0.3 mg/m3,3,Resp.,Final,Nov-10,7440-42-8,BORON AND COMPOUNDS
Oral,Acute,0.2 mg/kg/day,100,Develop.,Final,Nov-10,7440-42-8,BORON AND COMPOUNDS
Oral,Int.,0.2 mg/kg/day,66,Develop.,Final,Nov-10,7440-42-8,BORON AND COMPOUNDS
Oral,Acute,0.07 mg/kg/day,100,Develop.,Final,Mar-20,75-27-4,BROMODICHLOROMETHANE
Oral,Chr.,0.008 mg/kg/day,100,Hepatic,Final,Mar-20,75-27-4,BROMODICHLOROMETHANE
Oral,Acute,0.7 mg/kg/day,100,Hepatic,Final,Aug-05,75-25-2,BROMOFORM
Oral,Chr.,0.02 mg/kg/day,3000,Hepatic,Final,Aug-05,75-25-2,BROMOFORM
Oral,Int.,0.2 mg/kg/day,100,Hepatic,Final,Aug-05,75-25-2,BROMOFORM
Inh.,Chr.,0.001 ppm,90,Resp.,Final,Mar-20,74-83-9,BROMOMETHANE
Inh.,Int.,0.02 ppm,90,Neurol.,Final,Mar-20,74-83-9,BROMOMETHANE
Inh.,Acute,0.00003 mg/m3,300,Resp.,Final,Sep-12,7440-43-9,CADMIUM
Inh.,Chr.,0.00001 mg/m3,9,Renal,Final,Sep-12,7440-43-9,CADMIUM
Oral,Chr.,0.0001 mg/kg/day,3,Renal,Final,Sep-12,7440-43-9,CADMIUM
Oral,Int.,0.0005 mg/kg/day,100,Musculo.,Final,Sep-12,7440-43-9,CADMIUM
Inh.,Chr.,0.3 ppm,30,Neurol.,Final,Aug-96,75-15-0,CARBON DISULFIDE
Oral,Acute,0.01 mg/kg/day,300,Hepatic,Final,Aug-96,75-15-0,CARBON DISULFIDE
Inh.,Chr.,0.03 ppm,30,Hepatic,Final,Aug-05,56-23-5,CARBON TETRACHLORIDE
Inh.,Int.,0.03 ppm,30,Hepatic,Final,Aug-05,56-23-5,CARBON TETRACHLORIDE
Oral,Acute,0.02 mg/kg/day,300,Hepatic,Final,Aug-05,56-23-5,CARBON TETRACHLORIDE
Oral,Int.,0.007 mg/kg/day,100,Hepatic,Final,Aug-05,56-23-5,CARBON TETRACHLORIDE
Rad.,Acute,4 mSv,3,Develop.,Final,Apr-04,7440-46-2,CESIUM
Rad.,Chr.,1 mSv/yr,3,Other,Final,Apr-04,7440-46-2,CESIUM
Inh.,Chr.,0.00002 mg/m3,1000,Hepatic,Final,Feb-18,12789-03-6,CHLORDANE
Inh.,Int.,0.0002 mg/m3,100,Hepatic,Final,Feb-18,12789-03-6,CHLORDANE
Oral,Acute,0.001 mg/kg/day,1000,Develop.,Final,Feb-18,12789-03-6,CHLORDANE
Oral,Chr.,0.0006 mg/kg/day,100,Hepatic,Final,Feb-18,12789-03-6,CHLORDANE
Oral,Int.,0.0006 mg/kg/day,100,Hepatic,Final,Feb-18,12789-03-6,CHLORDANE
Oral,Acute,0.01 mg/kg/day,100,Neurol.,Draft,May-19,143-50-0,CHLORDECONE
Oral,Chr.,0.5 ug/kg/day,100,Renal,Draft,May-19,143-50-0,CHLORDECONE
Oral,Int.,3 ug/kg/day,100,"Neurol.,Reprod.",Draft,May-19,143-50-0,CHLORDECONE
Oral,Acute,0.002 mg/kg/day,1000,Neurol.,Final,Sep-97,470-90-6,CHLORFENVINPHOS
Oral,Chr.,0.0007 mg/kg/day,1000,Neurol.,Final,Sep-97,470-90-6,CHLORFENVINPHOS
Oral,Int.,0.002 mg/kg/day,1000,Immuno.,Final,Sep-97,470-90-6,CHLORFENVINPHOS
Inh.,Acute,0.06 ppm,3,Resp.,Final,Nov-10,7782-50-5,CHLORINE
Inh.,Chr.,0.00005 ppm,30,Resp.,Final,Nov-10,7782-50-5,CHLORINE
Inh.,Int.,0.002 ppm,90,Resp.,Final,Nov-10,7782-50-5,CHLORINE
Inh.,Int.,0.001 ppm,300,Resp.,Final,Sep-04,10049-04-4,CHLORINE DIOXIDE
Oral,Int.,0.1 mg/kg/day,30,Develop.,Final,Sep-04,7758-19-2,CHLORITE
Oral,Int.,0.07 mg/kg/day,100,Hepatic,Draft,Dec-19,108-90-7,CHLOROBENZENE
Inh.,Acute,15 ppm,100,Develop.,Final,Dec-98,75-00-3,CHLOROETHANE
Inh.,Acute,0.1 ppm,30,Hepatic,Final,Sep-97,67-66-3,CHLOROFORM
Inh.,Chr.,0.02 ppm,100,Hepatic,Final,Sep-97,67-66-3,CHLOROFORM
Inh.,Int.,0.05 ppm,300,Hepatic,Final,Sep-97,67-66-3,CHLOROFORM
Oral,Acute,0.3 mg/kg/day,100,Hepatic,Final,Sep-97,67-66-3,CHLOROFORM
Oral,Chr.,0.01 mg/kg/day,1000,Hepatic,Final,Sep-97,67-66-3,CHLOROFORM
Oral,Int.,0.1 mg/kg/day,100,Hepatic,Final,Sep-97,67-66-3,CHLOROFORM
Inh.,Acute,0.5 ppm,100,Neurol.,Final,Dec-98,74-87-3,CHLOROMETHANE
Inh.,Chr.,0.05 ppm,1000,Neurol.,Final,Dec-98,74-87-3,CHLOROMETHANE
Inh.,Int.,0.2 ppm,300,Hepatic,Final,Dec-98,74-87-3,CHLOROMETHANE
Oral,Acute,0.003 mg/kg/day,10,Neurol.,Final,Sep-97,2921-88-2,CHLORPYRIFOS
Oral,Chr.,0.001 mg/kg/day,100,Neurol.,Final,Sep-97,2921-88-2,CHLORPYRIFOS
Oral,Int.,0.003 mg/kg/day,10,Neurol.,Final,Sep-97,2921-88-2,CHLORPYRIFOS
Inh.,Int.,0.005 mg/m3,90,Resp.,Final,Sep-12,16065-83-1,CHROMIUM(III) INSOL. PARTICULATES
Inh.,Int.,0.0001 mg/m3,300,Resp.,Final,Sep-12,16065-83-1,CHROMIUM(III) SOLUBLE PARTICULATES
Oral,Chr,0.0009 mg/kg/day,100,Gastro.,Final,Sep-12,18540-29-9,CHROMIUM(VI)
Oral,Int.,0.005 mg/kg/day,100,Hemato.,Final,Sep-12,18540-29-9,CHROMIUM(VI)
Inh.,Chr.,0.000005 mg/m3,100,Resp.,Final,Sep-12,18540-29-9,"CHROMIUM(VI), AEROSOL MISTS"
Inh.,Int.,0.000005 mg/m3,100,Resp.,Final,Sep-12,18540-29-9,"CHROMIUM(VI), AEROSOL MISTS"
Inh.,Int.,0.0003 mg/m3,30,Resp.,Final,Sep-12,18540-29-9,"CHROMIUM(VI), PARTICULATES"
Inh.,Chr.,0.0001 mg/m3,10,Resp.,Final,Apr-04,7440-48-4,COBALT
Oral,Int.,0.01 mg/kg/day,100,Hemato.,Final,Apr-04,7440-48-4,COBALT
Rad.,Acute,4 mSv,3,Develop.,Final,Apr-04,7440-48-4,COBALT
Rad.,Chr.,1 mSv/yr,3,Other,Final,Apr-04,7440-48-4,COBALT
Oral,Acute,0.01 mg/kg/day,3,Gastro.,Final,Sep-04,7440-50-8,COPPER
Oral,Int.,0.01 mg/kg/day,3,Gastro.,Final,Sep-04,7440-50-8,COPPER
Oral,Chr.,0.1 mg/kg/day,1000,Resp.,Final,Sep-08,1319-77-3,CRESOLS
Oral,Int.,0.1 mg/kg/day,100,Resp.,Final,Sep-08,1319-77-3,CRESOLS
Oral,Int.,0.05 mg/kg/day,100,Repro.,Final,Jul-06,143-33-9,"CYANIDE, SODIUM"
Oral,Acute,0.01 mg/kg/day,100,Gastro.,Final,Sep-03,68085-85-8,CYHALOTHRIN
Oral,Int.,0.01 mg/kg/day,100,Gastro.,Final,Sep-03,68085-85-8,CYHALOTHRIN
Oral,Acute,0.02 mg/kg/day,1000,Neurol.,Final,Sep-03,52315-07-8,CYPERMETHRIN
Oral,Acute,0.5 ug/kg/day,1000,Develop.,Draft,Dec-19,50-29-3,"DDT, P,P'-"
Oral,Chr.,0.1 ug/kg/day,100,Hepatic,Draft,Dec-19,50-29-3,"DDT, P,P'-"
Oral,Int.,0.2 ug/kg/day,1000,Hepatic,Draft,Dec-19,50-29-3,"DDT, P,P'-"
Oral,Int.,1 mg/kg/day,100,Develop.,Final,Aug-17,134-62-3,"DEET (N,N-DIETHYL-META-TOLUAMIDE)"
Inh.,Int.,0.2 ppb,300,Develop.,Draft,Dec-19,117-81-7,DI(2-ETHYLHEXYL)PHTHALATE (DEHP)
Oral,Acute,3 ug/kg/day,300,Develop.,Draft,Dec-19,117-81-7,DI(2-ETHYLHEXYL)PHTHALATE (DEHP)
Oral,Int.,0.1 ug/kg/day,300,Develop.,Draft,Dec-19,117-81-7,DI(2-ETHYLHEXYL)PHTHALATE (DEHP)
Inh.,Int.,0.01 mg/m3,30,Neurol.,Final,Sep-08,333-41-5,DIAZINON
Oral,Acute,0.006 mg/kg/day,100,Neurol.,Final,Sep-08,333-41-5,DIAZINON
Oral,Chr.,0.0007 mg/kg/day,100,Neurol.,Final,Sep-08,333-41-5,DIAZINON
Oral,Int.,0.002 mg/kg/day,100,Neurol.,Final,Sep-08,333-41-5,DIAZINON
Oral,Acute,0.1 mg/kg/day,300,Hepatic,Final,Aug-05,124-48-1,DIBROMOCHLOROMETHANE
Oral,Chr.,0.09 mg/kg/day,300,Hepatic,Final,Aug-05,124-48-1,DIBROMOCHLOROMETHANE
Inh.,Acute,0.002 ppm,100,Neurol.,Final,Sep-97,62-73-7,DICHLORVOS
Inh.,Chr.,0.00006 ppm,100,Neurol.,Final,Sep-97,62-73-7,DICHLORVOS
Inh.,Int.,0.0003 ppm,100,Neurol.,Final,Sep-97,62-73-7,DICHLORVOS
Oral,Acute,0.004 mg/kg/day,1000,Neurol.,Final,Sep-97,62-73-7,DICHLORVOS
Oral,Chr.,0.0005 mg/kg/day,100,Neurol.,Final,Sep-97,62-73-7,DICHLORVOS
Oral,Int.,0.003 mg/kg/day,10,Neurol.,Final,Sep-97,62-73-7,DICHLORVOS
Oral,Chr.,0.00005 mg/kg/day,100,Hepatic,Final,Sep-02,60-57-1,DIELDRIN
Oral,Int.,0.0001 mg/kg/day,100,Neurol.,Final,Sep-02,60-57-1,DIELDRIN
Oral,Acute,7 mg/kg/day,300,Repro.,Final,Jun-95,84-66-2,DIETHYL PHTHALATE
Oral,Int.,6 mg/kg/day,300,Hepatic,Final,Jun-95,84-66-2,DIETHYL PHTHALATE
Oral,Chr.,0.6 mg/kg/day,100,Hemato.,Final,Aug-98,1445-75-6,DIISOPROPYL METHYLPHOSPHONATE (DIMP)
Oral,Int.,0.8 mg/kg/day,100,Hemato.,Final,Aug-98,1445-75-6,DIISOPROPYL METHYLPHOSPHONATE (DIMP)
